entity,year,records,organization_type,method
21st Century Oncology,2016,2200000,healthcare,Hacked
500px,2020,14870304,social networking,Hacked
Accendo Insurance Co.,2020,175350,healthcare,Poor Security
Adobe Systems Incorporated,2013,152000000,tech,Hacked
Adobe Inc.,2019,7500000,tech,Poor Security
Advocate Medical Group,2017,4000000,healthcare,Lost / Stolen Media
AerServ (subsidiary of InMobi),2018,75000,advertising,Hacked
"Affinity Health Plan, Inc.",2013,344579,healthcare,Lost / Stolen Media
Airtel,2019,320000000,telecommunications,Poor Security
Air Canada,2018,20000,transport,Hacked
TD Ameritrade,2005,200000,financial,Lost / Stolen Media
Ancestry.com,2021,300000,web,Poor Security
Animal Jam,2020,46000000,gaming,Hacked
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,Hacked
Anthem Inc.,2021,80000000,healthcare,Hacked
AOL,2021,92000000,web,"Inside Job, Hacked"
AOL,2021,20000000,web,Accidentally Published
AOL,2014,2400000,web,Hacked
"Apple, Inc./BlueToad",2021,12367232,"tech, retail",Accidentally Published
Apple,2021,275000,tech,Hacked
Apple Health Medicaid,2021,91000,healthcare,Poor Security
Ashley Madison,2015,32000000,web,Hacked
AT&T,2008,113000,telecoms,Lost / Stolen Computer
AT&T,2010,114000,telecoms,Hacked
Auction.co.kr,2008,18000000,web,Hacked
Automatic Data Processing,2005,125000,financial,Poor Security
"AvMed, Inc.",2009,1220000,healthcare,Lost / Stolen Computer
Bailey's Inc.,2015,250000,retail,Hacked
The Bank of New York Mellon,2008,12500000,financial,Lost / Stolen Media
Bank of America,2005,1200000,financial,Lost / Stolen Media
Bell Canada,2017,1900000,telecoms,Poor Security
Bell Canada,2018,100000,telecoms,Hacked
Benesse,2014,35040000,educational services,Hacked
Betfair,2010,2300000,web,Hacked
Bethesda Game Studios,2011,200000,gaming,Hacked
Blank Media Games,2018,7633234,gaming,Hacked
Blizzard Entertainment,2012,14000000,gaming,Hacked
BlueCross BlueShield of Tennessee,2009,1023209,healthcare,Lost / Stolen Media
BMO and Simplii,2018,90000,banking,Poor Security
2018 British Airways cyberattack,2018,500000,transport,Hacked
California Department of Child Support Services,2012,800000,government,Lost / Stolen Media
Canva,2019,140000000,web,Hacked
Capcom,2020,350000,game,Hacked
Capital One,2019,106000000,financial,Unsecured S3 Bucket
"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,financial,Hacked
Cathay Pacific Airways,2018,9400000,transport,Hacked
CareFirst BlueCross Blue Shield - Maryland,2015,1100000,healthcare,Hacked
Central Coast Credit Union,2016,60000,financial,Hacked
Central Hudson Gas & Electric,2013,110000,energy,Hacked
CheckFree Corporation,2009,5000000,financial,Hacked
